ch_id	lat	lon	depth
320	40.82382821	14.16864056	0
321	40.82384078	14.16858431	0
322	40.82385334	14.16852795	0
323	40.82386582	14.16847158	0
324	40.82387838	14.16841521	0
325	40.82389095	14.16835897	0
326	40.82390352	14.16830260	0
327	40.82391608	14.16824623	0
328	40.82392865	14.16818998	0
329	40.82394112	14.16813362	0
330	40.82395369	14.16807725	0
331	40.82396599	14.16802089	0
332	40.82397810	14.16796429	0
333	40.82399021	14.16790781	0
334	40.82400242	14.16785132	0
335	40.82401453	14.16779484	0
336	40.82402665	14.16773836	0
337	40.82403876	14.16768188	0
338	40.82405087	14.16762540	0
339	40.82406308	14.16756892	0
340	40.82407519	14.16751244	0
341	40.82408731	14.16745596	0
342	40.82409942	14.16739948	0
343	40.82411153	14.16734300	0
344	40.82412374	14.16728652	0
345	40.82413585	14.16722992	0
346	40.82414797	14.16717344	0
347	40.82416008	14.16711696	0
348	40.82417174	14.16706036	0
349	40.82418079	14.16700286	0
350	40.82418983	14.16694535	0
351	40.82419896	14.16688795	0
352	40.82420801	14.16683044	0
353	40.82421705	14.16677293	0
354	40.82422609	14.16671542	0
355	40.82423523	14.16665803	0
356	40.82424427	14.16660052	0
357	40.82425331	14.16654301	0
358	40.82426236	14.16648550	0
359	40.82427149	14.16642811	0
360	40.82428054	14.16637060	0
361	40.82428958	14.16631309	0
362	40.82429871	14.16625558	0
363	40.82430776	14.16619819	0
364	40.82431680	14.16614068	0
365	40.82432584	14.16608317	0
366	40.82433498	14.16602578	0
367	40.82434402	14.16596827	0
368	40.82435306	14.16591076	0
369	40.82436211	14.16585325	0
370	40.82436799	14.16579530	0
371	40.82437036	14.16573669	0
372	40.82437282	14.16567808	0
373	40.82437519	14.16561935	0
374	40.82437765	14.16556074	0
375	40.82438002	14.16550212	0
376	40.82438247	14.16544351	0
377	40.82438484	14.16538490	0
378	40.82438721	14.16532629	0
379	40.82438967	14.16526767	0
380	40.82439204	14.16520906	0
381	40.82439450	14.16515045	0
382	40.82439687	14.16509184	0
383	40.82439923	14.16503322	0
384	40.82440169	14.16497461	0
385	40.82440406	14.16491600	0
386	40.82440652	14.16485738	0
395	40.82440889	14.16479877	0
396	40.82441126	14.16474016	0
397	40.82441371	14.16468155	0
398	40.82441599	14.16462282	0
399	40.82441557	14.16456412	0
400	40.82441523	14.16450543	0
401	40.82441481	14.16444673	0
402	40.82441447	14.16438803	0
403	40.82441414	14.16432934	0
404	40.82441371	14.16427064	0
405	40.82441338	14.16421194	0
406	40.82441304	14.16415325	0
407	40.82441261	14.16409455	0
408	40.82441228	14.16403585	0
409	40.82441194	14.16397716	0
410	40.82441152	14.16391846	0
411	40.82441118	14.16385976	0
412	40.82441076	14.16380107	0
413	40.82441042	14.16374237	0
414	40.82441009	14.16368368	0
415	40.82440966	14.16362486	0
416	40.82440933	14.16356616	0
417	40.82440287	14.16350814	0
418	40.82439623	14.16345011	0
419	40.82438951	14.16339209	0
420	40.82438278	14.16333407	0
421	40.82437614	14.16327604	0
422	40.82436942	14.16321790	0
423	40.82436269	14.16315988	0
424	40.82435605	14.16310185	0
425	40.82434932	14.16304383	0
426	40.82434269	14.16298580	0
427	40.82433596	14.16292778	0
428	40.82432923	14.16286976	0
429	40.82432260	14.16281161	0
430	40.82431587	14.16275359	0
431	40.82430914	14.16269557	0
432	40.82430251	14.16263754	0
433	40.82428922	14.16258185	0
434	40.82427234	14.16252752	0
435	40.82425546	14.16247318	0
436	40.82423858	14.16241896	0
437	40.82422161	14.16236462	0
438	40.82419729	14.16231548	0
439	40.82417261	14.16226657	0
440	40.82414794	14.16221767	0
441	40.82412317	14.16216877	0
442	40.82409849	14.16211998	0
443	40.82407381	14.16207108	0
444	40.82404914	14.16202218	0
445	40.82401910	14.16197986	0
446	40.82398371	14.16194402	0
447	40.82394841	14.16190830	0
448	40.82391310	14.16187245	0
449	40.82387771	14.16183661	0
450	40.82384241	14.16180077	0
451	40.82380710	14.16176493	0
452	40.82377171	14.16172920	0
453	40.82373641	14.16169336	0
454	40.82370111	14.16165752	0
455	40.82366571	14.16162168	0
456	40.82363041	14.16158583	0
457	40.82359511	14.16155011	0
458	40.82355971	14.16151427	0
459	40.82352441	14.16147842	0
460	40.82348911	14.16144258	0
461	40.82345372	14.16140674	0
462	40.82342046	14.16136803	0
463	40.82338935	14.16132596	0
464	40.82335823	14.16128378	0
465	40.82332721	14.16124172	0
466	40.82329609	14.16119966	0
467	40.82326507	14.16115748	0
468	40.82323395	14.16111542	0
469	40.82320284	14.16107335	0
470	40.82317182	14.16103117	0
471	40.82314070	14.16098911	0
472	40.82310968	14.16094705	0
473	40.82307856	14.16090487	0
474	40.82304745	14.16086281	0
475	40.82301642	14.16082074	0
476	40.82298531	14.16077868	0
477	40.82295428	14.16073650	0
478	40.82292317	14.16069444	0
479	40.82289205	14.16065238	0
480	40.82286415	14.16060660	0
481	40.82283706	14.16055998	0
482	40.82280997	14.16051337	0
483	40.82278287	14.16046675	0
484	40.82275578	14.16042013	0
485	40.82272859	14.16037363	0
486	40.82270150	14.16032701	0
487	40.82267441	14.16028040	0
488	40.82264731	14.16023378	0
489	40.82262013	14.16018716	0
490	40.82259303	14.16014054	0
491	40.82256594	14.16009393	0
492	40.82253884	14.16004731	0
493	40.82251166	14.16000069	0
494	40.82248457	14.15995419	0
495	40.82245747	14.15990757	0
496	40.82243038	14.15986096	0
497	40.82240319	14.15981434	0
498	40.82237610	14.15976772	0
499	40.82234900	14.15972111	0
500	40.82232191	14.15967449	0
501	40.82229473	14.15962787	0
502	40.82226763	14.15958126	0
503	40.82224054	14.15953464	0
504	40.82221344	14.15948814	0
505	40.82218626	14.15944152	0
