channel_id	cluster_id	classification
685	-1	noise
686	-1	noise
687	-1	noise
688	-1	noise
689	-1	noise
690	-1	noise
691	-1	noise
692	-1	noise
693	-1	noise
694	-1	noise
695	-1	noise
696	-1	noise
697	-1	noise
698	-1	noise
699	-1	noise
700	-1	noise
701	-1	noise
702	-1	noise
703	-1	noise
704	-1	noise
705	4	cluster
706	4	cluster
707	4	cluster
708	4	cluster
709	4	cluster
710	4	cluster
711	4	cluster
712	4	cluster
713	4	cluster
714	4	cluster
715	4	cluster
716	4	cluster
717	4	cluster
718	4	cluster
719	4	cluster
720	4	cluster
721	4	cluster
722	4	cluster
723	4	cluster
724	4	cluster
725	4	cluster
726	4	cluster
727	4	cluster
728	4	cluster
729	4	cluster
730	4	cluster
731	4	cluster
732	4	cluster
733	4	cluster
734	4	cluster
735	4	cluster
736	4	cluster
737	4	cluster
738	4	cluster
739	4	cluster
740	4	cluster
741	4	cluster
742	4	cluster
743	4	cluster
744	4	cluster
745	4	cluster
746	4	cluster
747	4	cluster
748	4	cluster
749	4	cluster
750	4	cluster
751	4	cluster
752	4	cluster
753	4	cluster
754	4	cluster
755	4	cluster
756	4	cluster
757	4	cluster
758	4	cluster
759	4	cluster
760	4	cluster
761	4	cluster
762	4	cluster
763	-1	noise
764	-1	noise
765	-1	noise
766	-1	noise
775	-1	noise
776	-1	noise
777	-1	noise
778	-1	noise
779	-1	noise
780	-1	noise
781	-1	noise
782	-1	noise
783	-1	noise
784	-1	noise
785	-1	noise
786	-1	noise
787	-1	noise
788	-1	noise
789	-1	noise
790	-1	noise
791	-1	noise
792	-1	noise
793	-1	noise
794	-1	noise
795	-1	noise
796	-1	noise
797	-1	noise
798	-1	noise
799	-1	noise
800	-1	noise
801	-1	noise
802	5	cluster
803	5	cluster
804	5	cluster
805	5	cluster
806	5	cluster
807	5	cluster
808	5	cluster
809	5	cluster
810	5	cluster
811	5	cluster
812	5	cluster
813	5	cluster
814	5	cluster
815	5	cluster
816	5	cluster
817	5	cluster
818	5	cluster
819	5	cluster
820	5	cluster
821	5	cluster
822	5	cluster
823	5	cluster
824	5	cluster
825	5	cluster
826	5	cluster
827	5	cluster
828	5	cluster
829	5	cluster
830	5	cluster
831	5	cluster
832	5	cluster
833	5	cluster
834	5	cluster
835	5	cluster
836	5	cluster
837	5	cluster
838	5	cluster
839	5	cluster
840	5	cluster
841	5	cluster
842	5	cluster
843	5	cluster
844	5	cluster
845	5	cluster
846	5	cluster
847	5	cluster
848	5	cluster
849	5	cluster
850	5	cluster
851	5	cluster
852	5	cluster
853	5	cluster
854	5	cluster
855	5	cluster
856	5	cluster
857	5	cluster
858	5	cluster
859	5	cluster
860	5	cluster
861	5	cluster
862	5	cluster
863	5	cluster
864	5	cluster
865	5	cluster
866	5	cluster
867	5	cluster
868	5	cluster
869	5	cluster
870	5	cluster
871	-1	noise
872	-1	noise
873	-1	noise
874	-1	noise
875	-1	noise
876	-1	noise
877	-1	noise
878	-1	noise
879	6	cluster
880	6	cluster
881	6	cluster
882	6	cluster
883	6	cluster
884	6	cluster
885	6	cluster
886	6	cluster
887	6	cluster
888	6	cluster
889	6	cluster
890	6	cluster
891	6	cluster
892	6	cluster
893	6	cluster
894	6	cluster
895	6	cluster
896	6	cluster
897	6	cluster
898	6	cluster
899	6	cluster
900	6	cluster
901	6	cluster
902	6	cluster
903	6	cluster
904	6	cluster
905	6	cluster
906	6	cluster
907	6	cluster
908	6	cluster
917	6	cluster
918	6	cluster
919	6	cluster
920	6	cluster
921	6	cluster
922	6	cluster
923	6	cluster
924	6	cluster
925	6	cluster
926	6	cluster
927	6	cluster
928	6	cluster
929	6	cluster
930	6	cluster
931	6	cluster
932	6	cluster
933	6	cluster
934	6	cluster
935	6	cluster
936	6	cluster
937	6	cluster
938	6	cluster
939	6	cluster
940	6	cluster
941	6	cluster
942	-1	noise
943	-1	noise
944	-1	noise
945	-1	noise
946	-1	noise
947	-1	noise
948	-1	noise
949	-1	noise
950	-1	noise
951	-1	noise
952	-1	noise
953	-1	noise
954	-1	noise
955	-1	noise
956	-1	noise
957	-1	noise
958	-1	noise
959	-1	noise
960	-1	noise
961	-1	noise
962	-1	noise
963	-1	noise
964	-1	noise
965	-1	noise
966	-1	noise
967	-1	noise
968	-1	noise
969	-1	noise
970	-1	noise
971	-1	noise
972	-1	noise
973	-1	noise
974	-1	noise
975	-1	noise
976	-1	noise
977	-1	noise
978	-1	noise
979	-1	noise
980	-1	noise
981	-1	noise
982	-1	noise
983	-1	noise
984	-1	noise
985	-1	noise
986	-1	noise
987	-1	noise
988	-1	noise
989	-1	noise
990	-1	noise
991	-1	noise
992	-1	noise
993	-1	noise
994	-1	noise
995	-1	noise
996	-1	noise
997	-1	noise
998	-1	noise
999	-1	noise
1000	-1	noise
1001	-1	noise
1002	-1	noise
1003	-1	noise
1004	-1	noise
1005	-1	noise
1006	-1	noise
1007	-1	noise
1008	-1	noise
1009	-1	noise
1010	-1	noise
1011	-1	noise
1012	-1	noise
1013	-1	noise
1014	-1	noise
1015	-1	noise
1016	-1	noise
1017	-1	noise
1018	-1	noise
1019	-1	noise
1020	-1	noise
1021	-1	noise
1022	-1	noise
1023	-1	noise
1024	-1	noise
1025	-1	noise
1026	-1	noise
1027	-1	noise
1028	-1	noise
1029	-1	noise
1030	-1	noise
1031	-1	noise
1032	-1	noise
1033	-1	noise
1034	-1	noise
1035	-1	noise
1036	-1	noise
1037	-1	noise
1038	-1	noise
1039	-1	noise
1051	-1	noise
1052	-1	noise
1053	-1	noise
1054	-1	noise
1055	-1	noise
1056	-1	noise
1057	-1	noise
1058	-1	noise
1059	-1	noise
1060	-1	noise
1061	-1	noise
1062	-1	noise
1063	-1	noise
1064	-1	noise
1065	-1	noise
1066	-1	noise
1067	-1	noise
1068	-1	noise
1069	-1	noise
1070	7	cluster
1071	7	cluster
1072	7	cluster
1073	7	cluster
1074	7	cluster
1075	7	cluster
1076	7	cluster
1077	7	cluster
1078	7	cluster
1079	7	cluster
1080	7	cluster
1081	7	cluster
1082	7	cluster
1083	7	cluster
1084	7	cluster
1085	7	cluster
1086	7	cluster
1087	7	cluster
1088	7	cluster
1089	7	cluster
1090	7	cluster
1091	7	cluster
1092	7	cluster
1093	7	cluster
1094	7	cluster
1095	7	cluster
1096	7	cluster
1097	7	cluster
1098	7	cluster
1099	7	cluster
1100	7	cluster
1101	7	cluster
1102	7	cluster
1103	7	cluster
1104	7	cluster
1105	7	cluster
1106	7	cluster
1107	7	cluster
1108	7	cluster
1109	7	cluster
1110	7	cluster
1111	7	cluster
1112	7	cluster
1113	7	cluster
1114	7	cluster
1115	7	cluster
1116	7	cluster
1117	7	cluster
1118	7	cluster
1119	7	cluster
1120	7	cluster
1121	7	cluster
1122	7	cluster
1123	7	cluster
1124	7	cluster
1125	7	cluster
1126	7	cluster
1127	7	cluster
1128	7	cluster
1129	7	cluster
1130	7	cluster
1131	7	cluster
1132	7	cluster
1133	7	cluster
1134	7	cluster
1135	7	cluster
1136	7	cluster
1137	7	cluster
1138	7	cluster
1139	7	cluster
1140	7	cluster
1141	7	cluster
1142	7	cluster
1143	7	cluster
1144	7	cluster
1145	-1	noise
1146	-1	noise
1147	-1	noise
1148	-1	noise
1149	-1	noise
1150	-1	noise
1151	-1	noise
1152	-1	noise
1153	-1	noise
1154	-1	noise
1155	-1	noise
1156	-1	noise
1157	-1	noise
1158	-1	noise
1159	-1	noise
1160	-1	noise
1171	-1	noise
1172	-1	noise
1173	-1	noise
1174	-1	noise
1175	-1	noise
1176	-1	noise
1177	-1	noise
1178	-1	noise
1179	-1	noise
1180	-1	noise
1181	-1	noise
1182	-1	noise
1183	-1	noise
1184	-1	noise
1185	-1	noise
1186	-1	noise
1187	-1	noise
1188	-1	noise
1189	-1	noise
1190	-1	noise
1191	-1	noise
1192	-1	noise
1193	-1	noise
1194	-1	noise
1195	-1	noise
1196	-1	noise
1197	-1	noise
1198	-1	noise
1199	-1	noise
1200	-1	noise
1201	-1	noise
1202	-1	noise
1203	-1	noise
1204	-1	noise
1205	-1	noise
1214	-1	noise
1215	-1	noise
1216	-1	noise
1217	-1	noise
1218	-1	noise
1219	-1	noise
1220	-1	noise
1221	-1	noise
1222	-1	noise
1223	-1	noise
1224	8	cluster
1225	8	cluster
1226	8	cluster
1227	8	cluster
1228	8	cluster
1229	8	cluster
1230	8	cluster
1231	8	cluster
1232	8	cluster
1233	8	cluster
1234	8	cluster
1235	8	cluster
1236	8	cluster
1237	8	cluster
1238	8	cluster
1239	8	cluster
1250	8	cluster
1251	8	cluster
1252	8	cluster
1253	8	cluster
1254	8	cluster
1255	8	cluster
1256	8	cluster
1257	8	cluster
1258	8	cluster
1259	8	cluster
1260	8	cluster
1261	8	cluster
1262	8	cluster
1263	8	cluster
1264	8	cluster
1265	8	cluster
1266	8	cluster
1267	8	cluster
1268	8	cluster
1269	8	cluster
1270	8	cluster
1271	8	cluster
1272	8	cluster
1273	8	cluster
1274	8	cluster
1275	8	cluster
1276	8	cluster
1277	8	cluster
1278	8	cluster
1279	8	cluster
1280	8	cluster
1281	8	cluster
1282	8	cluster
1283	8	cluster
1284	8	cluster
1285	8	cluster
1286	8	cluster
1287	8	cluster
1288	8	cluster
1289	8	cluster
1290	8	cluster
1291	8	cluster
1292	8	cluster
1293	8	cluster
1294	8	cluster
1295	8	cluster
1296	8	cluster
1297	8	cluster
1298	8	cluster
1299	8	cluster
1300	8	cluster
1301	8	cluster
1302	8	cluster
1303	8	cluster
1304	8	cluster
1305	8	cluster
1306	8	cluster
1307	8	cluster
1308	8	cluster
1309	8	cluster
1310	8	cluster
1311	8	cluster
1312	8	cluster
1313	8	cluster
1314	8	cluster
1315	8	cluster
1316	8	cluster
1317	8	cluster
1318	-1	noise
1319	-1	noise
1320	-1	noise
1321	-1	noise
1322	-1	noise
1323	-1	noise
1324	-1	noise
1325	-1	noise
1326	-1	noise
1327	-1	noise
1328	-1	noise
1329	-1	noise
1330	-1	noise
1331	-1	noise
1332	-1	noise
1333	-1	noise
1334	-1	noise
1335	-1	noise
1336	-1	noise
1337	-1	noise
1338	-1	noise
1339	-1	noise
1340	-1	noise
1341	-1	noise
1342	-1	noise
1343	-1	noise
1344	-1	noise
1345	-1	noise
1346	-1	noise
1347	-1	noise
1348	-1	noise
1349	-1	noise
1350	-1	noise
1351	-1	noise
1352	-1	noise
1353	-1	noise
1354	-1	noise
1355	-1	noise
1356	-1	noise
1357	-1	noise
1358	-1	noise
1359	-1	noise
1360	-1	noise
1361	-1	noise
1362	-1	noise
1363	-1	noise
1364	-1	noise
1365	-1	noise
1366	-1	noise
1378	-1	noise
1379	-1	noise
1380	-1	noise
1381	-1	noise
1382	-1	noise
1383	-1	noise
1384	-1	noise
1385	-1	noise
1386	-1	noise
1387	-1	noise
1388	-1	noise
1389	-1	noise
1390	-1	noise
1391	-1	noise
1392	-1	noise
1393	-1	noise
1394	-1	noise
1395	-1	noise
1396	-1	noise
1397	-1	noise
1398	-1	noise
1399	-1	noise
1400	-1	noise
1401	-1	noise
