%iDASCh East	North   IntDist CumDist
 421 429443.41 4519598.26 4.95 1722.96
 422 429438.50 4519597.56 4.95 1727.91
 423 429433.60 4519596.86 4.95 1732.86
 424 429428.70 4519596.17 4.95 1737.81
 425 429423.80 4519595.47 4.95 1742.76
 426 429418.90 4519594.78 4.95 1747.71
 427 429414.00 4519594.08 4.95 1752.66
 428 429409.10 4519593.38 4.95 1757.61
 429 429404.19 4519592.69 4.95 1762.56
 430 429399.29 4519591.99 4.95 1767.51
 431 429394.39 4519591.29 4.95 1772.46
 432 429389.49 4519590.60 4.95 1777.41
 433 429384.78 4519589.17 4.92 1782.33
 434 429380.18 4519587.34 4.95 1787.28
 435 429375.58 4519585.51 4.95 1792.23
 436 429370.99 4519583.68 4.95 1797.18
 437 429366.39 4519581.84 4.95 1802.13
 438 429362.22 4519579.18 4.95 1807.08
 439 429358.07 4519576.48 4.95 1812.03
 440 429353.92 4519573.78 4.95 1816.98
 441 429349.77 4519571.07 4.95 1821.93
 442 429345.63 4519568.37 4.95 1826.88
 443 429341.48 4519565.67 4.95 1831.83
 444 429337.33 4519562.97 4.95 1836.78
 445 429333.73 4519559.67 4.88 1841.67
 446 429330.67 4519555.77 4.95 1846.62
 447 429327.62 4519551.88 4.95 1851.57
 448 429324.56 4519547.99 4.95 1856.52
 449 429321.50 4519544.09 4.95 1861.47
 450 429318.44 4519540.20 4.95 1866.42
 451 429315.38 4519536.31 4.95 1871.37
 452 429312.33 4519532.41 4.95 1876.32
 453 429309.27 4519528.52 4.95 1881.27
 454 429306.21 4519524.63 4.95 1886.22
 455 429303.15 4519520.73 4.95 1891.17
 456 429300.09 4519516.84 4.95 1896.12
 457 429297.04 4519512.95 4.95 1901.08
 458 429293.98 4519509.05 4.95 1906.03
 459 429290.92 4519505.16 4.95 1910.98
 460 429287.86 4519501.27 4.95 1915.93
 461 429284.80 4519497.37 4.95 1920.88
 462 429281.50 4519493.71 4.94 1925.82
 463 429277.92 4519490.29 4.95 1930.77
 464 429274.33 4519486.87 4.95 1935.72
 465 429270.75 4519483.46 4.95 1940.67
 466 429267.17 4519480.04 4.95 1945.62
 467 429263.58 4519476.63 4.95 1950.57
 468 429260.00 4519473.21 4.95 1955.52
 469 429256.42 4519469.79 4.95 1960.47
 470 429252.83 4519466.38 4.95 1965.42
 471 429249.25 4519462.96 4.95 1970.37
 472 429245.67 4519459.55 4.95 1975.32
 473 429242.08 4519456.13 4.95 1980.27
 474 429238.50 4519452.71 4.95 1985.22
 475 429234.92 4519449.30 4.95 1990.17
 476 429231.34 4519445.88 4.95 1995.12
 477 429227.75 4519442.47 4.95 2000.07
 478 429224.17 4519439.05 4.95 2005.02
 479 429220.59 4519435.63 4.95 2009.97
 480 429216.70 4519432.57 4.95 2014.92
 481 429212.74 4519429.60 4.95 2019.87
 482 429208.78 4519426.63 4.95 2024.82
 483 429204.82 4519423.66 4.95 2029.77
 484 429200.86 4519420.69 4.95 2034.72
 485 429196.91 4519417.71 4.95 2039.67
 486 429192.95 4519414.74 4.95 2044.62
 487 429188.99 4519411.77 4.95 2049.57
 488 429185.03 4519408.80 4.95 2054.52
 489 429181.07 4519405.82 4.95 2059.48
 490 429177.11 4519402.85 4.95 2064.43
 491 429173.15 4519399.88 4.95 2069.38
 492 429169.19 4519396.91 4.95 2074.33
 493 429165.23 4519393.93 4.95 2079.28
 494 429161.28 4519390.96 4.95 2084.23
 495 429157.32 4519387.99 4.95 2089.18
 496 429153.36 4519385.02 4.95 2094.13
 497 429149.40 4519382.04 4.95 2099.08
 498 429145.44 4519379.07 4.95 2104.03
 499 429141.48 4519376.10 4.95 2108.98
 500 429137.52 4519373.13 4.95 2113.93
 501 429133.56 4519370.15 4.95 2118.88
 502 429129.60 4519367.18 4.95 2123.83
 503 429125.64 4519364.21 4.95 2128.78
 504 429121.69 4519361.24 4.95 2133.73
 505 429117.73 4519358.26 4.95 2138.68
 506 429113.77 4519355.29 4.95 2143.63
 507 429109.81 4519352.31 4.95 2148.59
 508 429105.89 4519349.30 4.95 2153.54
 509 429101.96 4519346.29 4.95 2158.49
 510 429098.03 4519343.27 4.95 2163.44
 511 429094.10 4519340.26 4.95 2168.39
 512 429090.18 4519337.25 4.95 2173.34
 513 429086.25 4519334.23 4.95 2178.29
 514 429082.32 4519331.22 4.95 2183.24
 515 429078.39 4519328.20 4.95 2188.19
 516 429074.47 4519325.19 4.95 2193.14
 517 429070.54 4519322.18 4.95 2198.09
 518 429066.61 4519319.16 4.95 2203.04
 519 429062.68 4519316.15 4.95 2207.99
 520 429058.88 4519312.98 4.95 2212.94
 521 429055.10 4519309.79 4.95 2217.89
 522 429051.31 4519306.60 4.95 2222.84
 523 429047.52 4519303.41 4.95 2227.79
 533 429043.73 4519300.22 4.95 2232.74
 534 429040.10 4519297.16 4.75 2237.50
 535 429036.46 4519294.10 4.75 2242.25
 536 429032.83 4519291.04 4.75 2247.00
 537 429029.85 4519287.41 4.70 2251.70
 538 429027.33 4519283.38 4.75 2256.45
 539 429024.81 4519279.36 4.75 2261.20
 540 429022.29 4519275.33 4.75 2265.95
 541 429019.78 4519271.30 4.75 2270.70
 542 429017.26 4519267.27 4.75 2275.45
 543 429014.74 4519263.24 4.75 2280.21
 544 429012.22 4519259.21 4.75 2284.96
 545 429009.63 4519255.22 4.75 2289.71
 546 429007.00 4519251.27 4.75 2294.46
 547 429004.37 4519247.31 4.75 2299.21
 548 429001.74 4519243.35 4.75 2303.96
 549 428999.11 4519239.39 4.75 2308.72
 550 428996.48 4519235.44 4.75 2313.47
 551 428993.85 4519231.48 4.75 2318.22
 552 428991.22 4519227.52 4.75 2322.97
 553 428988.58 4519223.57 4.75 2327.72
 554 428985.95 4519219.61 4.75 2332.48
 555 428983.32 4519215.65 4.75 2337.23
 556 428980.15 4519212.14 4.73 2341.96
 557 428976.75 4519208.82 4.75 2346.71
 558 428973.36 4519205.50 4.75 2351.46
 559 428969.96 4519202.18 4.75 2356.21
 560 428966.56 4519198.85 4.75 2360.96
 561 428963.17 4519195.53 4.75 2365.72
 562 428959.77 4519192.21 4.75 2370.47
 563 428956.33 4519188.94 4.74 2375.21
 564 428952.21 4519186.58 4.75 2379.96
 565 428948.09 4519184.21 4.75 2384.72
 566 428943.96 4519181.85 4.75 2389.47
 567 428939.84 4519179.49 4.75 2394.22
 568 428935.72 4519177.13 4.75 2398.97
 569 428931.59 4519174.77 4.75 2403.72
 570 428927.47 4519172.41 4.75 2408.47
 571 428923.35 4519170.04 4.75 2413.23
 572 428919.18 4519167.84 4.71 2417.94
 573 428914.44 4519168.05 4.75 2422.69
 574 428909.69 4519168.27 4.75 2427.44
 575 428904.94 4519168.48 4.75 2432.19
 576 428900.20 4519168.70 4.75 2436.94
 577 428895.45 4519168.91 4.75 2441.70
 578 428890.70 4519169.13 4.75 2446.45
 579 428885.96 4519169.34 4.75 2451.20
 580 428881.21 4519169.62 4.75 2455.95
 581 428876.48 4519170.03 4.75 2460.70
 582 428871.74 4519170.44 4.75 2465.45
 583 428867.01 4519170.84 4.75 2470.21
 584 428862.28 4519171.25 4.75 2474.96
 585 428857.54 4519171.66 4.75 2479.71
 586 428852.81 4519172.06 4.75 2484.46
 587 428848.07 4519172.47 4.75 2489.21
 588 428843.34 4519172.88 4.75 2493.96
 589 428838.60 4519173.29 4.75 2498.72
 590 428834.01 4519174.40 4.73 2503.45
 591 428829.47 4519175.80 4.75 2508.20
 592 428824.92 4519177.19 4.75 2512.95
 593 428820.38 4519178.59 4.75 2517.70
 594 428815.71 4519180.03 4.89 2522.59
 595 428811.03 4519181.47 4.89 2527.48
 596 428806.36 4519182.91 4.89 2532.37
 597 428801.69 4519184.35 4.89 2537.26
 598 428797.01 4519185.78 4.89 2542.15
 599 428792.28 4519187.02 4.89 2547.04
 600 428787.54 4519188.21 4.89 2551.93
 601 428782.80 4519189.40 4.89 2556.82
 602 428778.05 4519190.58 4.89 2561.71
 603 428773.31 4519191.77 4.89 2566.60
 604 428768.56 4519192.96 4.89 2571.49
 605 428763.82 4519194.14 4.89 2576.38
 606 428759.07 4519195.33 4.89 2581.27
 607 428754.33 4519196.51 4.89 2586.16
 608 428749.59 4519197.70 4.89 2591.05
 609 428744.84 4519198.89 4.89 2595.94
 610 428740.10 4519200.07 4.89 2600.83
 611 428735.35 4519201.26 4.89 2605.72
 612 428730.61 4519202.45 4.89 2610.61
 613 428725.87 4519203.63 4.89 2615.50
 614 428721.12 4519204.82 4.89 2620.39
 615 428716.38 4519206.00 4.89 2625.29
 616 428711.63 4519207.19 4.89 2630.18
 617 428706.89 4519208.38 4.89 2635.07
 618 428702.14 4519209.56 4.89 2639.96
 635 428697.40 4519210.75 4.89 2644.85
 636 428692.66 4519211.94 4.89 2649.74
 637 428687.85 4519212.82 4.89 2654.62
 638 428683.02 4519213.60 4.89 2659.51
 639 428678.20 4519214.38 4.89 2664.40
 640 428673.37 4519215.16 4.89 2669.29
 641 428668.54 4519215.95 4.89 2674.18
 642 428663.71 4519216.73 4.89 2679.07
 643 428658.89 4519217.51 4.89 2683.96
 644 428654.06 4519218.29 4.89 2688.85
 645 428649.23 4519219.08 4.89 2693.75
 646 428644.40 4519219.86 4.89 2698.64
 647 428639.58 4519220.64 4.89 2703.53
 648 428634.75 4519221.42 4.89 2708.42
 649 428630.14 4519222.88 4.83 2713.25
